ID,Incident Date,Incident Date Text,State,City Or County,Address,,Killed,,,Injured,,longitude,latitude,victim,radius,popup
124,7/28/2016,28-Jul,New York,Elmira,303 College Avenue,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-76.81037,42.08979,5,6.309430814,"07-28, 303 College Avenue, Elmira, New York, Number killed: 0, Number injured: 5"
132,7/23/2016,23-Jul,Texas,Bastrop,202 Childers Drive,Number killed:,4,Number killed: 4,Number injured:,1,Number injured: 1,-97.32927,30.103394,5,6.309430814,"07-23, 202 Childers Drive, Bastrop, Texas, Number killed: 4, Number injured: 1"
133,7/22/2016,22-Jul,Illinois,Kankakee,300 block of North Wildwood Avenue,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-87.853584,41.12194,5,6.309430814,"07-22, 300 block of North Wildwood Avenue, Kankakee, Illinois, Number killed: 0, Number injured: 5"
134,7/21/2016,21-Jul,Illinois,Chicago,4400 block of South Leamington,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-87.75186,41.81282,5,6.309430814,"07-21, 4400 block of South Leamington, Chicago, Illinois, Number killed: 0, Number injured: 5"
140,7/16/2016,16-Jul,Texas,Dallas,6300 block of Benavides Drive,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-96.71395,32.715446,5,6.309430814,"07-16, 6300 block of Benavides Drive, Dallas, Texas, Number killed: 0, Number injured: 5"
141,7/16/2016,16-Jul,Ohio,Cleveland,5000 block of Euclid Avenue,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-81.65378,41.50411,5,6.309430814,"07-16, 5000 block of Euclid Avenue, Cleveland, Ohio, Number killed: 0, Number injured: 5"
149,7/13/2016,13-Jul,Georgia,Warner Robins,105 Magnolia Avenue,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-83.615616,32.643673,5,6.309430814,"07-13, 105 Magnolia Avenue, Warner Robins, Georgia, Number killed: 0, Number injured: 5"
151,7/11/2016,11-Jul,Maryland,Baltimore,1800 block of W. North Avenue,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-76.64656,39.309895,5,6.309430814,"07-11, 1800 block of W. North Avenue, Baltimore, Maryland, Number killed: 0, Number injured: 5"
153,7/11/2016,11-Jul,Michigan,Saint Joseph,811 Port Street,Number killed:,3,Number killed: 3,Number injured:,2,Number injured: 2,-86.47874,42.11027,5,6.309430814,"07-11, 811 Port Street, Saint Joseph, Michigan, Number killed: 3, Number injured: 2"
155,7/7/2016,7-Jul,Tennessee,Bristol,536 Volunteer Parkway,Number killed:,1,Number killed: 1,Number injured:,4,Number injured: 4,-82.186173,36.587389,5,6.309430814,"07-07, 536 Volunteer Parkway, Bristol, Tennessee, Number killed: 1, Number injured: 4"
